,Date,Open,High,Low,Close,Adj Close,compound,neg,neu,pos
2017,2014-12-08,114.1,114.65,111.62,112.4,112.4,0.4404,0.061,0.874,0.065
2018,2014-12-09,110.19,114.3,109.35,114.12,114.12,0.9956,0.025,0.769,0.206
2019,2014-12-10,114.41,114.85,111.54,111.95,111.95,0.8677,0.039,0.871,0.09
2020,2014-12-11,112.26,113.8,111.34,111.62,111.62,-0.2297,0.099,0.807,0.093
2021,2014-12-12,110.46,111.87,109.58,109.73,109.73,0.6697,0.05,0.873,0.076
2022,2014-12-15,110.7,111.6,106.35,108.23,108.23,0.9393,0.024,0.884,0.092
2023,2014-12-16,106.37,110.16,106.26,106.75,106.75,0.5719,0.058,0.864,0.079
2024,2014-12-17,107.12,109.84,106.82,109.41,109.41,-0.296,0.08,0.847,0.072
2025,2014-12-18,111.87,112.65,110.66,112.65,112.65,0.7096,0.045,0.898,0.056
2026,2014-12-19,112.26,113.24,111.66,111.78,111.78,0.3919,0.057,0.886,0.056
2027,2014-12-22,112.16,113.49,111.97,112.94,112.94,0.9059,0.017,0.867,0.116
2028,2014-12-23,113.23,113.33,112.46,112.54,112.54,0.9167,0.066,0.821,0.113
2029,2014-12-24,112.58,112.71,112.01,112.01,112.01,0.9831,0.032,0.817,0.151
2030,2014-12-26,112.1,114.52,112.01,113.99,113.99,0.2263,0.054,0.885,0.061
2031,2014-12-29,113.79,114.77,113.7,113.91,113.91,0.3204,0.05,0.883,0.067
2032,2014-12-30,113.64,113.92,112.11,112.52,112.52,0.0,0.0,1.0,0.0
2033,2014-12-31,112.82,113.13,110.21,110.38,110.38,0.0,0.0,0.0,0.0
2034,2015-01-02,111.39,111.44,107.35,109.33,109.33,0.9659,0.046,0.841,0.113
2035,2015-01-05,108.29,108.65,105.41,106.25,106.25,0.9524,0.049,0.835,0.115
2036,2015-01-06,106.54,107.43,104.63,106.26,106.26,0.8225,0.031,0.85,0.118
2037,2015-01-07,107.2,108.2,106.7,107.75,107.75,0.9761,0.031,0.848,0.121
2038,2015-01-08,109.23,112.15,108.7,111.89,111.89,0.9072,0.049,0.863,0.088
2039,2015-01-09,112.67,113.25,110.21,112.01,112.01,-0.9072,0.075,0.888,0.037
2040,2015-01-12,112.6,112.63,108.8,109.25,109.25,-0.4785,0.076,0.852,0.072
2041,2015-01-13,111.43,112.8,108.91,110.22,110.22,0.8398,0.022,0.897,0.082
2042,2015-01-14,109.04,110.49,108.5,109.8,109.8,0.9081,0.046,0.862,0.091
2043,2015-01-15,110.0,110.06,106.66,106.82,106.82,0.3506,0.033,0.923,0.044
2044,2015-01-16,107.03,107.58,105.2,105.99,105.99,-0.8885,0.094,0.851,0.055
2045,2015-01-20,107.84,108.97,106.5,108.72,108.72,0.4215,0.067,0.841,0.092
2046,2015-01-21,108.95,111.06,108.27,109.55,109.55,0.8591,0.037,0.886,0.077
2047,2015-01-22,110.26,112.47,109.72,112.4,112.4,0.8074,0.012,0.938,0.05
2048,2015-01-23,112.3,113.75,111.53,112.98,112.98,0.7717,0.035,0.87,0.096
2049,2015-01-26,113.74,114.36,112.8,113.1,113.1,0.9332,0.089,0.779,0.132
2050,2015-01-27,112.42,112.48,109.03,109.14,109.14,0.8625,0.087,0.8,0.113
2051,2015-01-28,117.63,118.12,115.31,115.31,115.31,0.7096,0.0,0.918,0.082
2052,2015-01-29,116.32,119.19,115.56,118.9,118.9,0.9847,0.019,0.814,0.166
2053,2015-01-30,118.4,120.0,116.85,117.16,117.16,-0.8241,0.081,0.862,0.057
2054,2015-02-02,118.05,119.17,116.08,118.63,118.63,0.5267,0.073,0.842,0.084
2055,2015-02-03,118.5,119.09,117.61,118.65,118.65,-0.0258,0.105,0.816,0.078
2056,2015-02-04,118.5,120.51,118.31,119.56,119.56,0.9446,0.07,0.827,0.103
2057,2015-02-05,120.02,120.23,119.25,119.94,119.94,0.5197,0.061,0.877,0.062
2058,2015-02-06,120.02,120.25,118.45,118.93,118.93,0.7783,0.027,0.913,0.06
2059,2015-02-09,118.55,119.84,118.43,119.72,119.72,0.4234,0.062,0.852,0.086
2060,2015-02-10,120.17,122.15,120.16,122.02,122.02,-0.4019,0.102,0.806,0.092
2061,2015-02-11,122.77,124.92,122.5,124.88,124.88,0.6428,0.016,0.945,0.04
2062,2015-02-12,126.06,127.48,125.57,126.46,126.46,0.959,0.009,0.906,0.085
2063,2015-02-13,127.28,127.28,125.65,127.08,127.08,0.2732,0.075,0.835,0.09
2064,2015-02-17,127.49,128.88,126.92,127.83,127.83,0.9371,0.026,0.861,0.112
2065,2015-02-18,127.63,128.78,127.45,128.72,128.72,0.8968,0.023,0.91,0.067
2066,2015-02-19,128.48,129.03,128.33,128.45,128.45,0.6753,0.009,0.961,0.03
2067,2015-02-20,128.62,129.5,128.05,129.5,129.5,0.5647,0.007,0.972,0.021
2068,2015-02-23,130.02,133.0,129.66,133.0,133.0,0.8442,0.056,0.847,0.097
2069,2015-02-24,132.94,133.6,131.17,132.17,132.17,0.34,0.013,0.962,0.026
2070,2015-02-25,131.56,131.6,128.15,128.79,128.79,0.0,0.0,0.0,0.0
2071,2015-02-26,128.79,130.87,126.61,130.42,130.42,-0.91,0.089,0.852,0.059
2072,2015-02-27,130.0,130.57,128.24,128.46,128.46,-0.9231,0.136,0.763,0.101
2073,2015-03-02,129.25,130.28,128.3,129.09,129.09,0.9717,0.039,0.861,0.099
2074,2015-03-03,128.96,129.52,128.09,129.36,129.36,0.128,0.077,0.856,0.068
2075,2015-03-04,129.1,129.56,128.32,128.54,128.54,-0.6808,0.074,0.879,0.047
2076,2015-03-05,128.58,128.75,125.76,126.41,126.41,0.9584,0.033,0.874,0.092
2077,2015-03-06,128.4,129.37,126.26,126.6,126.6,0.9171,0.059,0.844,0.097
